"build","experimentName","subject","date","time","blockcode","trialcode","list.Condition.currentvalue","cond","condcolor","percentTrialsStay","practiceblock","cannon","driftConc","blocknum","trialnum","StaySwitch","TAC","hitmiss","angmu","outcome","placementAngle","prev_placementAngle","trial.placeshield_mouse.latency","cannonballs_caught","cannonballs_missed","totalearnings","angleup","angledown","outcomeindex","UP","distmean","shield_size","blockearnings","picture.wall.stimulusonset","shape.responsearea.stimulusonset","picture.cannonball.stimulusonset","picture.shield_center.stimulusonset","picture.shield.stimulusonset","picture.shield.currentitem"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","mainloop","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","181.2318709923033281939","218.8568117967599846452","184.1247666061423728934","280.3797102495677791012","912","0","1","2.5","196.1247666061423728934","172.1247666061423728934","6","96.2549436434254062078","0","24","0","0","2","1","3","1","Arc24.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","placeshield_mouse","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","181.2318709923033281939","218.8568117967599846452","178.8655783690228986416","184.1247666061423728934","693","0","1","2.5","196.1247666061423728934","172.1247666061423728934","6","96.2549436434254062078","0","24","0","1","1","1","3","1","Arc24.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","revealshield","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","181.2318709923033281939","218.8568117967599846452","178.8655783690228986416","184.1247666061423728934","693","0","1","2.5","208.3655783690228986416","149.3655783690228986416","6","5.2591882371194742518","0","59","0","1","1","1","2","1","Arc59.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","cannon_outcome","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","181.2318709923033281939","218.8568117967599846452","178.8655783690228986416","184.1247666061423728934","693","0","2","2.5","208.3655783690228986416","149.3655783690228986416","6","5.2591882371194742518","0","59","0","1","1","1","2","1","Arc59.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","mainloop","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","181.1078086492320267098","158.1943247821511988604","178.8655783690228986416","184.1247666061423728934","693","0","2","2.5","208.3655783690228986416","149.3655783690228986416","6","5.2591882371194742518","0","59","0","0","1","1","2","1","Arc59.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","placeshield_mouse","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","181.1078086492320267098","158.1943247821511988604","186.5601964005713000461","178.8655783690228986416","248","0","2","2.5","208.3655783690228986416","149.3655783690228986416","6","5.2591882371194742518","0","59","0","1","1","1","2","1","Arc59.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","revealshield","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","181.1078086492320267098","158.1943247821511988604","186.5601964005713000461","178.8655783690228986416","248","0","2","2.5","196.0601964005713000461","177.0601964005713000461","6","7.6946180315484014045","0","19","0","1","1","1","3","1","Arc19.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","cannon_outcome","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","181.1078086492320267098","158.1943247821511988604","186.5601964005713000461","178.8655783690228986416","248","0","3","2.5","196.0601964005713000461","177.0601964005713000461","6","7.6946180315484014045","0","19","0","1","1","1","3","1","Arc19.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","Reminder","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","181.1078086492320267098","158.1943247821511988604","186.5601964005713000461","178.8655783690228986416","248","0","3","2.5","196.0601964005713000461","177.0601964005713000461","6","7.6946180315484014045","0","19","0","1","1","1","3","1","Arc19.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","mainloop","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","177.9444086166484169098","168.2818916204446111351","186.5601964005713000461","178.8655783690228986416","248","0","3","2.5","196.0601964005713000461","177.0601964005713000461","6","7.6946180315484014045","0","19","0","2","1","1","3","1","Arc19.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","placeshield_mouse","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","177.9444086166484169098","168.2818916204446111351","177.4362297885350585602","186.5601964005713000461","651","0","3","2.5","196.0601964005713000461","177.0601964005713000461","6","7.6946180315484014045","0","19","0","1","1","1","3","1","Arc19.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","revealshield","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","177.9444086166484169098","168.2818916204446111351","177.4362297885350585602","186.5601964005713000461","651","0","3","2.5","207.4362297885350585602","147.4362297885350585602","6","9.1239666120362414858","0","60","0","1","1","1","1","1","Arc60.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","cannon_outcome","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","1","177.9444086166484169098","168.2818916204446111351","177.4362297885350585602","186.5601964005713000461","651","1","3","2.5","207.4362297885350585602","147.4362297885350585602","5","9.1239666120362414858","0","60","0","1","1","1","1","1","Arc60.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","mainloop","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","1","176.900134321135482196","193.7296542003435604329","177.4362297885350585602","186.5601964005713000461","651","1","3","2.5","207.4362297885350585602","147.4362297885350585602","5","9.1239666120362414858","0","60","0","0","1","1","1","1","Arc60.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","placeshield_mouse","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","1","176.900134321135482196","193.7296542003435604329","177.4362297885350585602","177.4362297885350585602","384","1","3","2.5","207.4362297885350585602","147.4362297885350585602","5","9.1239666120362414858","0","60","0","1","1","1","1","1","Arc60.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","revealshield","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","1","176.900134321135482196","193.7296542003435604329","177.4362297885350585602","177.4362297885350585602","384","1","3","2.5","195.4362297885350585602","159.4362297885350585602","5","0","0","36","0","1","1","1","1","1","Arc36.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","cannon_outcome","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","1","176.900134321135482196","193.7296542003435604329","177.4362297885350585602","177.4362297885350585602","384","2","3","2.5","195.4362297885350585602","159.4362297885350585602","5","0","0","36","0","1","1","1","1","1","Arc36.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","EndPracticePhase","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","1","18.7749999999999985789","0","0","0","0","1","176.900134321135482196","193.7296542003435604329","177.4362297885350585602","177.4362297885350585602","384","2","3","3.5","195.4362297885350585602","159.4362297885350585602","5","0","0","36","1","1","1","1","1","1","Arc36.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","PracticeBlock_CannonNotVisible","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","1","349.9344061664153286983","193.7296542003435604329","177.4362297885350585602","177.4362297885350585602","384","2","3","3.5","195.4362297885350585602","159.4362297885350585602","5","0","0","36","1","1","1","1","1","1","Arc36.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","mainloop","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","1","343.0795899000887629882","346.7403179087714875095","177.4362297885350585602","177.4362297885350585602","384","2","3","3.5","195.4362297885350585602","159.4362297885350585602","5","0","0","36","1","1","1","1","1","1","Arc36.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","placeshield_mouse","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","1","343.0795899000887629882","346.7403179087714875095","174.472459848343817157","177.4362297885350585602","1020","2","3","3.5","195.4362297885350585602","159.4362297885350585602","5","0","0","36","1","1","1","1","1","1","Arc36.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","revealshield","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","1","343.0795899000887629882","346.7403179087714875095","174.472459848343817157","177.4362297885350585602","1020","2","3","3.5","196.972459848343817157","151.972459848343817157","5","2.9637699401912414032","0","45","1","0","1","0","2","0","Arc45.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","cannon_outcome","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","0","343.0795899000887629882","346.7403179087714875095","174.472459848343817157","177.4362297885350585602","1020","2","4","3.5","196.972459848343817157","151.972459848343817157","6","2.9637699401912414032","0","45","1","0","1","0","2","0","Arc45.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","Reminder","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","0","343.0795899000887629882","346.7403179087714875095","174.472459848343817157","177.4362297885350585602","1020","2","4","3.5","196.972459848343817157","151.972459848343817157","6","2.9637699401912414032","0","45","1","0","1","0","2","0","Arc45.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","mainloop","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","302.4238881055321144231","174.472459848343817157","177.4362297885350585602","1020","2","4","3.5","196.972459848343817157","151.972459848343817157","6","2.9637699401912414032","0","45","1","1","1","0","2","0","Arc45.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","placeshield_mouse","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","302.4238881055321144231","346.6200368729386696032","174.472459848343817157","592","2","4","3.5","196.972459848343817157","151.972459848343817157","6","2.9637699401912414032","0","45","1","1","1","0","2","0","Arc45.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","revealshield","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","302.4238881055321144231","346.6200368729386696032","174.472459848343817157","592","2","4","3.5","362.1200368729386696032","331.1200368729386696032","6","172.1475770245948524462","0","31","1","1","1","1","1","1","Arc31.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","cannon_outcome","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","302.4238881055321144231","346.6200368729386696032","174.472459848343817157","592","2","5","3.5","2.1200368729386696032","331.1200368729386696032","6","172.1475770245948524462","0","31","1","1","1","1","1","1","Arc31.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","Reminder","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","302.4238881055321144231","346.6200368729386696032","174.472459848343817157","592","2","5","3.5","2.1200368729386696032","331.1200368729386696032","6","172.1475770245948524462","0","31","1","1","1","1","1","1","Arc31.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","mainloop","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","128.2615624294294036645","346.6200368729386696032","174.472459848343817157","592","2","5","3.5","2.1200368729386696032","331.1200368729386696032","6","172.1475770245948524462","0","31","1","1","1","1","1","1","Arc31.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","placeshield_mouse","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","128.2615624294294036645","303.7682336159755323024","346.6200368729386696032","773","2","5","3.5","2.1200368729386696032","331.1200368729386696032","6","172.1475770245948524462","0","31","1","1","1","1","1","1","Arc31.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","revealshield","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","128.2615624294294036645","303.7682336159755323024","346.6200368729386696032","773","2","5","3.5","313.7682336159755323024","293.7682336159755323024","6","42.8518032569631373008","0","20","1","1","1","1","1","1","Arc20.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","cannon_outcome","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","128.2615624294294036645","303.7682336159755323024","346.6200368729386696032","773","2","6","3.5","313.7682336159755323024","293.7682336159755323024","6","42.8518032569631373008","0","20","1","1","1","1","1","1","Arc20.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","Reminder","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","1","0","0","343.0795899000887629882","128.2615624294294036645","303.7682336159755323024","346.6200368729386696032","773","2","6","3.5","313.7682336159755323024","293.7682336159755323024","6","42.8518032569631373008","0","20","1","1","1","1","1","1","Arc20.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","mainloop","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","0","346.4149849549412465421","298.2550387216705871651","303.7682336159755323024","346.6200368729386696032","773","2","6","3.5","313.7682336159755323024","293.7682336159755323024","6","42.8518032569631373008","0","20","1","3","1","1","1","1","Arc20.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","placeshield_mouse","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","0","346.4149849549412465421","298.2550387216705871651","129.0938588862294977844","303.7682336159755323024","549","2","6","3.5","313.7682336159755323024","293.7682336159755323024","6","42.8518032569631373008","0","20","1","2","2","1","1","1","Arc20.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","revealshield","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","0","346.4149849549412465421","298.2550387216705871651","129.0938588862294977844","303.7682336159755323024","549","2","6","3.5","146.0938588862294977844","112.0938588862294977844","6","174.674374729746034518","0","34","1","2","2","2","2","2","Arc34.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","cannon_outcome","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","0","346.4149849549412465421","298.2550387216705871651","129.0938588862294977844","303.7682336159755323024","549","2","7","3.5","146.0938588862294977844","112.0938588862294977844","6","174.674374729746034518","0","34","1","2","2","2","2","2","Arc34.png"
"6.4.2","Cannonball Task","1","2021-10-01","16:54:42","begin_round","Reminder","ODDBALL","ODDBALL","BLUE","0.8599999999999999867","5","2","18.7749999999999985789","0","1","0","0","0","346.4149849549412465421","298.2550387216705871651","129.0938588862294977844","303.7682336159755323024","549","2","7","3.5","146.0938588862294977844","112.0938588862294977844","6","174.674374729746034518","0","34","1","2","2","2","2","2","Arc34.png"
